experiment_id,system,evidence_type,evidence_unit,top_evidence_sentences,faithfulness,context_precision,evidence_granularity_score,trust_score,key_observation
E02,Basic RAG,Chunk-level evidence,Full chunk,0,0.91,1.0,0.0,0.8336,"Uses full retrieved chunks as context. Evidence is coarse-grained (EGS=0.00), so the model must filter relevant information internally. Highest faithfulness among chunk-level systems."
E03,RAG with Sentence Evidence,Sentence-level evidence,Sentence,1,0.55,1.0,0.9854,0.7331,Extracts the top-1 most relevant sentence(s) before answering. EGS=0.9854 reflects tight evidence focus. Faithfulness -0.36 vs chunk-level baseline. Higher precision at the cost of narrower context.
E03,RAG with Sentence Evidence,Sentence-level evidence,Sentence,3,0.61,1.0,0.9482,0.7369,Extracts the top-3 most relevant sentence(s) before answering. EGS=0.9482 reflects tight evidence focus. Faithfulness -0.30 vs chunk-level baseline. Balances focus with broader coverage.
E03,RAG with Sentence Evidence,Sentence-level evidence,Sentence,5,0.68,1.0,0.8863,0.7746,Extracts the top-5 most relevant sentence(s) before answering. EGS=0.8863 reflects tight evidence focus. Faithfulness -0.23 vs chunk-level baseline. Wider evidence window improves context breadth at slight EGS cost.
E03,RAG with Sentence Evidence,Sentence-level evidence,Sentence,7,0.78,1.0,0.8314,0.8025,Extracts the top-7 most relevant sentence(s) before answering. EGS=0.8314 reflects tight evidence focus. Faithfulness -0.13 vs chunk-level baseline. Broad evidence window approaches chunk-level coverage; EGS diminishes.
E03,RAG with Sentence Evidence,Sentence-level evidence,Sentence,9,0.78,1.0,0.7811,0.7984,Extracts the top-9 most relevant sentence(s) before answering. EGS=0.7811 reflects tight evidence focus. Faithfulness -0.13 vs chunk-level baseline. Broad evidence window approaches chunk-level coverage; EGS diminishes.
